ID,Product_Type,HTS,Company,Address,City,State,ZIP,Percent,Total_Amount,Quantity_1,Quantity_2,Quantity_3,Quantity_4,Quantity_5,Origin_1,Origin_2,Origin_3,Origin_4,Origin_5,Exporter_1,Exporter_2,Exporter_3,Exporter_4,Exporter_5,District,Abbreviation,Code,Approved,Denied_Incomplete,Denied_Country,Denied_Production,Pending,Denied,Posted_Date,Received_Date,Total_Exclusions,Total_Approved,Total_Denied,Total_Pending,Objections,Total_Objections,Total_Firms
BIS-2018-0002-17964,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,5000000,5000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17965,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,2000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17966,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,9000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17967,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,10570000,90000000,90000000,-999,-999,-999,Japan,Thailand,N/A,N/A,N/A,Japan,Thailand,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17968,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,8000000,90000000,90000000,-999,-999,-999,Japan,Thailand,N/A,N/A,N/A,Japan,Thailand,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17969,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,15000000,15000000,-999,-999,-999,-999,China,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/18/19,136,29,4,103,1,146,1
BIS-2018-0002-1797,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,353000,353000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-17970,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,17000000,17000000,-999,-999,-999,-999,China,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/18/19,136,29,4,103,1,146,1
BIS-2018-0002-17971,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,35000000,35000000,-999,-999,-999,-999,China,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/18/19,136,29,4,103,1,146,1
BIS-2018-0002-17972,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,20000000,20000000,-999,-999,-999,-999,China,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/18/19,136,29,4,103,1,146,1
